"","GNAME","SNAME","SCOMNAME","GRANK","SRANK","ENDEMIC","USESA","BLM_RANK","National_USDASymbol","FQA_SciName_noAuthority","National_SciName_noAuthority"
"182","Draba oligosperma","Draba oligosperma","Woods Draba","G5","S3","N",NA,FALSE,"DROL","Draba oligosperma",NA
"183","Draba rectifructa","Draba rectifructa","Mountain Draba","G3G4","S3","N",NA,FALSE,"DRRE","Draba rectifructa",NA
"184","Draba smithii","Draba smithii","Smith Whitlow- grass","G2","S2","N",NA,FALSE,"DRSM","Draba smithii",NA
"185","Draba streptobrachia","Draba streptobrachia","Colorado Divide Draba","G3","S3","N",NA,FALSE,"DRST5","Draba streptobrachia",NA
"186","Draba ventosa","Draba ventosa","Wind River Draba","G3","S1","N",NA,FALSE,"DRVE","Draba ventosa",NA
"187","Draba weberi","Draba weberi","Weber's Draba","G1","S1","Y",NA,FALSE,"DRWE","Draba weberi",NA
"188","Drosera anglica","Drosera anglica","English Sundew","G5","S1","N",NA,FALSE,"DRAN","Drosera anglica",NA
"189","Drosera rotundifolia","Drosera rotundifolia","Roundleaf Sundew","G5","S2","N",NA,FALSE,"DRRO","Drosera rotundifolia",NA
"190","Drymaria effusa var. depressa","Drymaria effusa var. depressa","Spreading Drymaria","G4T4","S1","N",NA,FALSE,"DREFD","Drymaria depressa",NA
"191","Dryopteris expansa","Dryopteris expansa","Spreading Wood Fern","G5","S1","N",NA,FALSE,"DREX2","Dryopteris expansa",NA
"192","Elatine rubella","Elatine rubella","Southwestern Waterwort","G5","S2","N",NA,FALSE,"ELRU","Elatine rubella",NA
"193","Eleocharis wolfii","Eleocharis wolfii","Wolf's Spikerush","G3G5","S1","N",NA,FALSE,"ELWO","Eleocharis wolfii",NA
"194","Enceliopsis nudicaulis","Enceliopsis nudicaulis","Nakedstem","G5","S1","N",NA,FALSE,"ENNU","Enceliopsis nudicaulis",NA
"195","Enneapogon desvauxii","Enneapogon desvauxii","Spike Pappusgrass","G5","S2","N",NA,FALSE,"ENDE","Enneapogon desvauxii",NA
"196","Epipactis gigantea","Epipactis gigantea","Giant Helleborine","G4","S1S2","N",NA,FALSE,"EPGI","Epipactis gigantea",NA
"197","Eragrostis curtipedicellata","Eragrostis curtipedicellata","Gummy Lovegrass","G5","S1","N",NA,FALSE,"ERCU","Eragrostis curtipedicellata",NA
"198","Erigeron abajoensis","Erigeron abajoensis","Abajo Daisy","G1G2","S1","N",NA,FALSE,"ERAB3","Erigeron abajoensis",NA
"199","Erigeron humilis","Erigeron humilis","Low Fleabane","G5","S1","N",NA,FALSE,"ERHU","Erigeron humilis",NA
"200","Erigeron kachinensis","Erigeron kachinensis","Kachina Daisy","G3","S1","N",NA,TRUE,"ERKA","Erigeron kachinensis",NA
"201","Erigeron lanatus","Erigeron lanatus","Woolly Fleabane","G4","S2","N",NA,FALSE,"ERLA","Erigeron lanatus",NA
"202","Erigeron nematophyllus","Erigeron nematophyllus","Needleleaf Daisy","G3","S3","N",NA,FALSE,"ERNE2","Erigeron nematophyllus",NA
"203","Erigeron radicatus","Erigeron radicatus","Taproot Daisy","G3G4","S1","N",NA,FALSE,"ERRA2","Erigeron radicatus",NA
"204","Erigeron scopulinus","Erigeron scopulinus","Winn Falls Fleabane","G3?","S1","N",NA,FALSE,"ERSC7","Erigeron scopulinus",NA
"205","Erigeron wilkenii","Erigeron wilkenii","Wilken Fleabane","G1","S1","Y",NA,FALSE,"ERWI2","Erigeron wilkenii",NA
"206","Eriogonum acaule","Eriogonum acaule","Single- stemmed Wild Buckwheat","G3","S1","N",NA,TRUE,"ERAC3","Eriogonum acaule",NA
"207","Eriogonum bicolor","Eriogonum bicolor","Pretty Buckwheat","G3G4","S2","N",NA,FALSE,"ERBI","Eriogonum bicolor",NA
"208","Eriogonum brandegeei","Eriogonum brandegeei","Brandegee Wild Buckwheat","G1G2","S1S2","Y",NA,TRUE,"ERBR9","Eriogonum brandegeei",NA
"209","Eriogonum clavellatum","Eriogonum clavellatum","Comb Wash Buckwheat","G2","S1","N",NA,TRUE,"ERCL2","Eriogonum clavellatum",NA
"210","Eriogonum coloradense","Eriogonum coloradense","Colorado Wild Buckwheat","G2","S2","Y",NA,TRUE,"ERCO11","Eriogonum coloradense",NA
"211","Eriogonum contortum","Eriogonum contortum","Grand Buckwheat","G3","S2","N",NA,TRUE,"ERCO13","Eriogonum contortum",NA
"212","Eriogonum ephedroides","Eriogonum ephedroides","Ephedra Buckwheat","G3","S1","N",NA,TRUE,"EREP","Eriogonum ephedroides",NA
"213","Eriogonum exilifolium","Eriogonum exilifolium","Dropleaf Buckwheat","G3","S3","N",NA,FALSE,"EREX2","Eriogonum exilifolium",NA
"214","Eriogonum leptocladon var. leptocladon","Eriogonum leptocladon var. leptocladon","Sand Buckwheat","G5T3T4","S1","N",NA,FALSE,"ERLEL","Eriogonum leptocladon var. leptocladon",NA
"215","Eriogonum leptocladon var. ramosissimum","Eriogonum leptocladon var. ramosissimum","Eastwood Sand Buckwheat","G5T5","S1","N",NA,FALSE,"ERLER","Eriogonum leptocladon var. ramosissimum",NA
"216","Eriogonum leptophyllum","Eriogonum leptophyllum","Slenderleaf Buckwheat","G3G4","S2","N",NA,FALSE,"ERLE10","Eriogonum leptophyllum",NA
"217","Eriogonum palmerianum","Eriogonum palmerianum","Palmer Buckwheat","G4","S1","N",NA,FALSE,"ERPA11","Eriogonum palmerianum",NA
"218","Eriogonum pauciflorum","Eriogonum pauciflorum","Few flowered Wild Buckwheat","G5","S2","N",NA,FALSE,"ERPA9","Eriogonum pauciflorum",NA
"219","Eriogonum pelinophilum","Eriogonum pelinophilum","Clay- loving Wild Buckwheat","G2","S2","Y","LE",FALSE,"ERPE10","Eriogonum pelinophilum",NA
"220","Eriogonum scabrellum","Eriogonum scabrellum","Westwater Buckwheat","G3","S1","N",NA,FALSE,"ERSC4","Eriogonum scabrellum",NA
"221","Eriogonum tumulosum","Eriogonum tumulosum","Woodside Buckwheat","G3Q","S2S3","N",NA,TRUE,"ERTU2","Eriogonum tumulosum",NA
"222","Eriogonum viridulum","Eriogonum viridulum","Clay Hill Buckwheat","G4Q","SH","N",NA,TRUE,"ERVI13","Eriogonum viridulum",NA
"223","Eriophorum chamissonis","Eriophorum chamissonis","Rusty Cottongrass","G5","S3","N",NA,FALSE,"ERCH7","Eriophorum chamissonis",NA
"224","Eriophorum gracile","Eriophorum gracile","Slender Cottongrass","G5","S1S2","N",NA,FALSE,"ERGR8","Eriophorum gracile",NA
"225","Euthamia gymnospermoides","Euthamia gymnospermoides","Texas Goldentop","G5","S1","N",NA,FALSE,"EUGY","Euthamia gymnospermoides",NA
"226","Eutrema penlandii","Eutrema penlandii","Mosquito Range Mustard","G2","S2","Y","LT",FALSE,"EUPE10","Eutrema penlandii",NA
"227","Festuca hallii","Festuca hallii","Hall Fescue","G5","S1","N",NA,FALSE,"FEHA3","Festuca hallii",NA
"228","Fimbristylis puberula var. interior","Fimbristylis puberula var. interior","Hairy Fimbry","G5T5","S1","N",NA,FALSE,"FIPUI","Fimbristylis puberula var. interior",NA
"229","Frasera coloradensis","Frasera coloradensis","Colorado Green Gentian","G2G3","S2S3","Y",NA,FALSE,"FRCO7","Frasera coloradensis",NA
"230","Frasera paniculata","Frasera paniculata","Tufted Green Gentian","G4","S1","N",NA,TRUE,"FRPA2","Frasera paniculata",NA
"231","Fritillaria pudica","Fritillaria pudica","Yellow Bell","G5","S1","N",NA,FALSE,"FRPU2","Fritillaria pudica",NA
"232","Gentianella tortuosa","Gentianella tortuosa","Cathedral Bluff Dwarf Gentian","G3?","S1","N",NA,TRUE,"GETO","Gentianella tortuosa",NA
"233","Geranium bicknellii","Geranium bicknellii","Bicknell's Cranesbill","G5","S2","N",NA,FALSE,"GEBI2","Geranium bicknellii",NA
"234","Goodyera repens","Goodyera repens","Dwarf Rattlesnake- plantain","G5","S3S4","N",NA,FALSE,"GORE2","Goodyera repens",NA
"235","Grindelia arizonica","Grindelia arizonica","Arizona Gumweed","G4","S2","N",NA,FALSE,"GRAR2","Grindelia arizonica",NA
"236","Grindelia fastigiata","Grindelia fastigiata","Pointed Gumweed","G3","S3","N",NA,FALSE,"GRFA","Grindelia fastigiata",NA
"237","Guilleminea densa","Guilleminea densa","Dense Cottonflower","G5","S1","N",NA,FALSE,"GUDE","Guilleminea densa",NA
"238","Gutierrezia elegans","Gutierrezia elegans","Lone Mesa Snakeweed","G1","S1","Y",NA,TRUE,"GUEL2","Gutierrezia elegans",NA
"239","Hackelia besseyi","Hackelia besseyi","Bessey's Stickseed","G2G3","S2","N",NA,FALSE,"HABE3","Hackelia besseyi",NA
"240","Hackelia gracilenta","Hackelia gracilenta","Mesa Verde Stickseed","G1G2","S1S2","Y",NA,FALSE,"HAGR10","Hackelia gracilenta",NA
"241","Halimolobos virgata","Halimolobos virgata","Virgate Halimolobos","G3","S2","N",NA,FALSE,"HAVI3","Transberingia bursifolia ssp. virgata",NA
"242","Hesperochiron pumilus","Hesperochiron pumilus","Dwarf Hesperochiron","G4","SH","N",NA,FALSE,"HEPU6","Hesperochiron pumilus",NA
"243","Heterocodon rariflorum","Heterocodon rariflorum","Western Pearl- flower","G5","SH","N",NA,FALSE,"HERA3","Heterocodon rariflorum",NA
"244","Heterosperma pinnatum","Heterosperma pinnatum","Wingpetal","G5?","S1","N",NA,FALSE,"HEPI2","Heterosperma pinnatum",NA
"245","Heterotheca stenophylla","Heterotheca stenophylla","Stiffleaf False Goldenaster","G4","S1","N",NA,FALSE,"HEST3","Heterotheca stenophylla",NA
"246","Heuchera richardsonii","Heuchera richardsonii","Richardson's Alum- root","G5","S1","N",NA,FALSE,"HERI","Heuchera richardsonii",NA
"247","Heuchera rubescens","Heuchera rubescens","Red Alum- root","G5","S1","N",NA,FALSE,"HERU","Heuchera rubescens",NA
"248","Hypoxis hirsuta","Hypoxis hirsuta","Yellow Stargrass","G5","S1","N",NA,FALSE,"HYHI2","Hypoxis hirsuta",NA
"249","Iliamna crandallii","Iliamna crandallii","Crandall's Wild- hollyhock","G2Q","S2","Y",NA,FALSE,"ILCR","Iliamna crandallii",NA
"250","Iliamna grandiflora","Iliamna grandiflora","Large- flower Globe- mallow","G3?Q","S1S2","N",NA,FALSE,"ILGR","Iliamna grandiflora",NA
"251","Ipomopsis aggregata ssp. weberi","Ipomopsis aggregata ssp. weberi","Rabbit Ears Gilia","G5T3Q","S3","Y",NA,FALSE,"IPAGW","Ipomopsis aggregata ssp. weberi",NA
"252","Ipomopsis congesta ssp. crebrifolia","Ipomopsis congesta ssp. crebrifolia","Compact Gilia","G5T3T4","S1","N",NA,FALSE,"IPCOC","Ipomopsis congesta ssp. crebrifolia",NA
"253","Ipomopsis globularis","Ipomopsis globularis","Hoosier Pass Ipomopsis","G2","S2","Y",NA,FALSE,"IPGL","Ipomopsis globularis",NA
"254","Ipomopsis multiflora","Ipomopsis multiflora","Many- flowered Gilia","G4?","S1","N",NA,FALSE,"IPMU3","Ipomopsis multiflora",NA
"255","Ipomopsis polyantha","Ipomopsis polyantha","Pagosa Skyrocket","G1","S1","Y","LE",FALSE,"IPPO","Ipomopsis polyantha",NA
"256","Ipomopsis ramosa","Ipomopsis ramosa","Coral Ipomopsis","G1","S1","Y",NA,FALSE,"IPRA","Ipomopsis ramosa",NA
"257","Juncus brachycephalus","Juncus brachycephalus","Small- headed Rush","G5","S1","N",NA,FALSE,"JUBR2","Juncus brachycephalus",NA
"258","Juncus brevicaudatus","Juncus brevicaudatus","Narrow- panicled Rush","G5","S1","N",NA,FALSE,"JUBR4","Juncus brevicaudatus",NA
"259","Juncus bryoides","Juncus bryoides","Minute Rush","G4","S1","N",NA,FALSE,"JUBR5","Juncus bryoides",NA
"260","Juncus vaseyi","Juncus vaseyi","Vasey Bulrush","G5","S1","N",NA,FALSE,"JUVA","Juncus vaseyi",NA
"261","Kobresia simpliciuscula","Kobresia simpliciuscula","Simple Kobresia","G5","S2","N",NA,FALSE,"KOSI2","Kobresia simpliciuscula",NA
"262","Koenigia islandica","Koenigia islandica","Island Koenigia","G4","S2","N",NA,FALSE,"KOIS","Koenigia islandica",NA
"263","Krigia biflora","Krigia biflora","Two- flowered Dwarf Dandelion","G5","S2","N",NA,FALSE,"KRBI","Krigia biflora",NA
"264","Lepidium crenatum","Lepidium crenatum","Alkaline Pepperwort","G2G3","S2","N",NA,FALSE,"LECR12","Lepidium crenatum",NA
"265","Lepidium huberi","Lepidium huberi","Huber's Pepperweed","G2","S2","N",NA,FALSE,"LEHU8","Lepidium huberi",NA
"266","Leptochloa dubia","Leptochloa dubia","Green Sprangletop","G5","S1","N",NA,FALSE,"LEDU","Disakisperma dubia",NA
"267","Liatris lancifolia","Liatris lancifolia","Lanceleaf Gay- feather","G4","S1","N",NA,FALSE,"LILA","Liatris lancifolia",NA
"268","Liatris ligulistylis","Liatris ligulistylis","Rocky Mountain Gay- feather","G5?","S2","N",NA,FALSE,"LILI","Liatris ligulistylis",NA
"269","Liatris squarrosa var. glabrata","Liatris squarrosa var. glabrata","Scaly Blazing Star","G5T5","S1","N",NA,FALSE,"LISQG","Liatris squarrosa var. glabrata",NA
"270","Lilium philadelphicum","Lilium philadelphicum","Wood Lily","G5","S3S4","N",NA,FALSE,"LIPH","Lilium philadelphicum",NA
"271","Linum kingii","Linum kingii","Yellow Flax","G5","S2","N",NA,FALSE,"LIKI2","Linum kingii",NA
"272","Listera borealis","Listera borealis","Northern Twayblade","G5","S2","N",NA,FALSE,"LIBO4","Listera borealis",NA
"273","Listera convallarioides","Listera convallarioides","Broad- leaved Twayblade","G5","S2","N",NA,FALSE,"LICO5","Listera convallarioides",NA
"274","Lobelia cardinalis","Lobelia cardinalis","Cardinal Flower","G5","S2","N",NA,FALSE,"LOCA2","Lobelia cardinalis",NA
"275","Lomatium bicolor var. leptocarpum","Lomatium bicolor var. leptocarpum","Oregon Biscuitroot","G4T3T4","S1","N",NA,FALSE,"LOBIL","Lomatium leptocarpum",NA
"276","Lomatium concinnum","Lomatium concinnum","Colorado Desert- parsley","G2G3","S2S3","Y",NA,TRUE,"LOCO2","Lomatium concinnum",NA
"277","Lomatium eastwoodiae","Lomatium eastwoodiae","Eastwood Desert- parsley","G3G4","S3S4","Y",NA,FALSE,"LOEA","Lomatium eastwoodiae",NA
"278","Lomatium foeniculaceum ssp. macdougalii","Lomatium foeniculaceum ssp. macdougalii","Desert- parsley","G5T4T5","S1","N",NA,FALSE,"LOFOM","Lomatium foeniculaceum var. macdougalii",NA
"279","Lomatogonium rotatum","Lomatogonium rotatum","Marsh Felwort","G5","S2","N",NA,FALSE,"LORO","Lomatogonium rotatum",NA
"280","Lupinus crassus","Lupinus crassus","Payson Lupine","G2","S2","Y",NA,TRUE,"LUCR2","Lupinus crassus",NA
"281","Luzula subcapitata","Luzula subcapitata","Colorado Wood- rush","G3","S3","Y",NA,FALSE,"LUSU9","Luzula subcapitata",NA
"282","Lycopus uniflorus","Lycopus uniflorus","Northern Bugleweed","G5","S1","N",NA,FALSE,"LYUN","Lycopus uniflorus",NA
"283","Lygodesmia doloresensis","Lygodesmia doloresensis","Dolores River Skeletonplant","G1G2","S1S2","N",NA,TRUE,"LYDO","Lygodesmia grandiflora var. doloresensis",NA
"284","Machaeranthera coloradoensis","Machaeranthera coloradoensis","Colorado Tansy- aster","G3","S3","N",NA,FALSE,"MACO13","Xanthisma coloradoense",NA
"285","Mahonia haematocarpa","Mahonia haematocarpa","Colorado Mahonia","G5","SH","N",NA,FALSE,"MAHA4","Berberis haematocarpa",NA
"286","Mentzelia pumila var. lagarosa","Mentzelia pumila var. lagarosa","Dwarf Mentzelia","G4T2T3","S1","N",NA,FALSE,"MEPUL","Mentzelia lagarosa",NA
"287","Mertensia alpina","Mertensia alpina","Alpine Bluebells","G4?","S3S4","N",NA,FALSE,"MEAL7","Mertensia alpina",NA
"288","Mertensia humilis","Mertensia humilis","Rocky Mountain Bluebells","G2","S1","N",NA,FALSE,"MEHU2","Mertensia humilis",NA
"289","Mimulus eastwoodiae","Mimulus eastwoodiae","Eastwood Monkeyflower","G3G4","S1S2","N",NA,FALSE,"MIEA","Mimulus eastwoodiae",NA
"290","Mimulus gemmiparus","Mimulus gemmiparus","Rocky Mountain Monkeyflower","G1","S1","Y",NA,FALSE,"MIGE","Mimulus gemmiparus",NA
"291","Mimulus lewisii","Mimulus lewisii","Lewis Monkeyflower","G5","S2","N",NA,FALSE,"MILE2","Mimulus lewisii",NA
"292","Mimulus ringens","Mimulus ringens","Square- stem Monkeyflower","G5","SH","N",NA,FALSE,"MIRI","Mimulus ringens",NA
"293","Monardella odoratissima","Monardella odoratissima","Mountain Wild Mint","G4G5","S2","N",NA,FALSE,"MOOD","Monardella odoratissima",NA
"294","Muhlenbergia depauperata","Muhlenbergia depauperata","Sixweeks Muhly","G5","S1","N",NA,FALSE,"MUDE","Muhlenbergia depauperata",NA
"295","Muhlenbergia thurberi","Muhlenbergia thurberi","Thurber's Muhly","G3G4Q","S2","N",NA,FALSE,"MUTH","Muhlenbergia thurberi",NA
"296","Myosurus cupulatus","Myosurus cupulatus","Western Mousetail","G4","S1","N",NA,FALSE,"MYCU","Myosurus cupulatus",NA
"297","Myosurus nitidus","Myosurus nitidus","Western Mousetail","G3G4","SH","N",NA,FALSE,"MYNI","Myosurus nitidus",NA
"298","Myriophyllum verticillatum","Myriophyllum verticillatum","Whorled Water- milfoil","G5","S2","N",NA,FALSE,"MYVE3","Myriophyllum verticillatum",NA
"299","Nama dichotomum","Nama dichotomum","Livemore Fiddleleaf","G4","S1","N",NA,FALSE,"NADI","Nama dichotomum",NA
"300","Nama retrorsum","Nama retrorsum","Betatakin Nama","G3","S1","N",NA,FALSE,"NARE","Nama retrorsum",NA
"301","Navarretia saximontana","Navarretia saximontana","Rocky Mountain Pincuchion- plant","G4?","S2","N",NA,FALSE,"NASA3","Navarretia saximontana",NA
"302","Nolina texana","Nolina texana","Texas Beargrass","G5","S1","N",NA,FALSE,"NOTE","Nolina texana",NA
"303","Oenothera acutissima","Oenothera acutissima","Narrow- leaf Evening Primrose","G2","S2","N",NA,TRUE,"OEAC","Oenothera acutissima",NA
"304","Oenothera canescens","Oenothera canescens","Spotted Evening Primrose","G4G5","S1","N",NA,FALSE,"OECA3","Oenothera canescens",NA
"305","Oenothera engelmannii","Oenothera engelmannii","Engelmann's Evening Primrose","G4","S1","N",NA,FALSE,"OEEN","Oenothera engelmannii",NA
"306","Oenothera grandis","Oenothera grandis","Showy Evening Primrose","G5?","S1","N",NA,FALSE,"OEGR2","Oenothera grandis",NA
"307","Oenothera harringtonii","Oenothera harringtonii","Arkansas Valley Evening Primrose","G3","S3","Y",NA,FALSE,"OEHA6","Oenothera harringtonii",NA
"308","Oenothera longissima","Oenothera longissima","Long- stem Evening Primrose","G4","S1","N",NA,FALSE,"OELO","Oenothera longissima",NA
"309","Oenothera rhombipetala","Oenothera rhombipetala","Four- point Evening Primrose","G4G5","S1","N",NA,FALSE,"OERH","Oenothera rhombipetala",NA
"310","Onoclea sensibilis","Onoclea sensibilis","Sensitive Fern","G5","SH","N",NA,FALSE,"ONSE","Onoclea sensibilis",NA
"311","Oonopsis engelmannii","Oonopsis engelmannii","Engelmann Goldenweed","G3","S3","N",NA,FALSE,"OOEN","Oönopsis engelmannii",NA
"312","Oonopsis foliosa var. monocephala","Oonopsis foliosa var. monocephala","Rayless Goldenweed","G3G4T2","S2","Y",NA,FALSE,"OOFOM","Oönopsis monocephala",NA
"313","Oonopsis wardii","Oonopsis wardii","Ward's Goldenweed","G3","S1","N",NA,FALSE,"OOWA","Oönopsis wardii",NA
"314","Oreoxis humilis","Oreoxis humilis","Pikes Peak Spring Parsley","G1","S1","Y",NA,FALSE,"ORHU","Cymopterus humilis",NA
"315","Oxytropis besseyi var. obnapiformis","Oxytropis besseyi var. obnapiformis","Bessey Locoweed","G5T2","S2S3","N",NA,TRUE,"OXBEO","Oxytropis besseyi var. obnapiformis",NA
"316","Oxytropis parryi","Oxytropis parryi","Parry's Crazy- weed","G5","S1","N",NA,FALSE,"OXPA2","Oxytropis parryi",NA
"317","Packera debilis","Packera debilis","Rocky Mountain Ragwort","G4","S1","N",NA,FALSE,"PADE22","Packera debilis",NA
"318","Packera mancosana","Packera mancosana","Mancos Shale Packera","G1","S1","Y",NA,FALSE,"PAMA2","Packera mancosana",NA
"319","Parnassia kotzebuei","Parnassia kotzebuei","Kotzebue's Grass- of- Parnassus","G5","S2","N",NA,FALSE,"PAKO3","Parnassia kotzebuei",NA
"320","Parryella filifolia","Parryella filifolia","Narrowleaf Dunebroom","G3G4","SH","N",NA,FALSE,"PAFI4","Parryella filifolia",NA
"321","Pediomelum aromaticum","Pediomelum aromaticum","Paradox Breadroot","G3","S2","N",NA,TRUE,"PEAR7","Pediomelum aromaticum",NA
"322","Pediomelum cuspidatum","Pediomelum cuspidatum","Largebract Indian Breadfruit","G4","S1","N",NA,FALSE,"PECU3","Pediomelum cuspidatum",NA
"323","Pediomelum linearifolium","Pediomelum linearifolium","Narrowleaf Breadroot","G4?","S1","N",NA,FALSE,"PELI10","Pediomelum linearifolium",NA
"324","Pediomelum megalanthum","Pediomelum megalanthum","Large- flowered Breadroot","G4?","S3S4","N",NA,FALSE,"PEME7","Pediomelum megalanthum",NA
"325","Pellaea breweri","Pellaea breweri","Brewer's Cliff- brake","G5","S2","N",NA,FALSE,"PEBR4","Pellaea breweri",NA
"326","Pellaea glabella ssp. simplex","Pellaea glabella ssp. simplex","Smooth Cliff- brake","G5T4?","S2","N",NA,FALSE,"PEGLS3","Pellaea glabella ssp. simplex",NA
"327","Pellaea wrightiana","Pellaea wrightiana","Wright's Cliff- brake","G5","S2","N",NA,FALSE,"PEWR","Pellaea wrightiana",NA
"328","Penstemon arenicola","Penstemon arenicola","Red Desert Beardtongue","G3G4","S1","N",NA,FALSE,"PEAR","Penstemon arenicola",NA
"329","Penstemon breviculus","Penstemon breviculus","Little Penstemon","G3","S2","N",NA,FALSE,"PEBR9","Penstemon breviculus",NA
"330","Penstemon cobaea","Penstemon cobaea","Cobaea Beardtongue","G4","S1","N",NA,FALSE,"PECO4","Penstemon cobaea",NA
"331","Penstemon cyathophorus","Penstemon cyathophorus","Middle Park Penstemon","G3","S3","N",NA,FALSE,"PECY6","Penstemon cyathophorus",NA
"332","Penstemon debilis","Penstemon debilis","Parachute Penstemon","G1","S1","Y","LT",FALSE,"PEDE22","Penstemon debilis",NA
"333","Penstemon degeneri","Penstemon degeneri","Degener Beardtongue","G2","S2","Y",NA,TRUE,"PEDE12","Penstemon degeneri",NA
"334","Penstemon eriantherus","Penstemon eriantherus","Fuzzytongue Penstemon","G4G5","S1","N",NA,FALSE,"PEER","Penstemon eriantherus",NA
"335","Penstemon fremontii var. glabrescens","Penstemon fremontii var. glabrescens","Fremont's Beardtongue","G3G4T2","S2","Y",NA,FALSE,"PEFRG","Penstemon fremontii var. glabrescens",NA
"336","Penstemon gibbensii","Penstemon gibbensii","Gibbens' Beardtongue","G1G2","S1","N",NA,TRUE,"PEGI4","Penstemon gibbensii",NA
"337","Penstemon grahamii","Penstemon grahamii","Graham Beardtongue","G2G3","S1","N",NA,TRUE,"PEGR6","Penstemon grahamii",NA
"338","Penstemon grandiflorus","Penstemon grandiflorus","Large- flower Beardtongue","G5?","S1","N",NA,FALSE,"PEGR7","Penstemon grandiflorus",NA
"339","Penstemon harbourii","Penstemon harbourii","Harbour Beardtongue","G3G4","S3S4","Y",NA,FALSE,"PEHA10","Penstemon harbourii",NA
"340","Penstemon harringtonii","Penstemon harringtonii","Harrington Beardtongue","G3","S3","Y",NA,TRUE,"PEHA11","Penstemon harringtonii",NA
"341","Penstemon jamesii","Penstemon jamesii","James' Beardtongue","G4","S1","N",NA,FALSE,"PEJA","Penstemon jamesii",NA
"342","Penstemon laricifolius ssp. exilifolius","Penstemon laricifolius ssp. exilifolius","Larch- leaf Beardtongue","G4T3","S2","N",NA,FALSE,"PELAE","Penstemon laricifolius ssp. exilifolius",NA
"343","Penstemon mensarum","Penstemon mensarum","Grand Mesa Penstemon","G2","S2","Y",NA,FALSE,"PEME2","Penstemon mensarum",NA
"344","Penstemon penlandii","Penstemon penlandii","Kremmling Beardtongue","G1","S1","Y","LE",FALSE,"PEPE25","Penstemon penlandii",NA
"345","Penstemon radicosus","Penstemon radicosus","Matroot Penstemon","G5","S1","N",NA,FALSE,"PERA2","Penstemon radicosus",NA
"346","Penstemon retrorsus","Penstemon retrorsus","Adobe Beardtongue","G3","S3","Y",NA,FALSE,"PERE7","Penstemon retrorsus",NA
"347","Penstemon scariosus var. albifluvis","Penstemon scariosus var. albifluvis","White River Penstemon","G4T1","S1","N",NA,TRUE,"PESCA","Penstemon scariosus var. albifluvis",NA
"348","Penstemon scariosus var. cyanomontanus","Penstemon scariosus var. cyanomontanus","Plateau Penstemon","G4T2","S2","N",NA,FALSE,"PESCC","Penstemon scariosus var. cyanomontanus",NA
"349","Penstemon teucrioides","Penstemon teucrioides","Germander Beardtongue","G3","S3","P",NA,FALSE,"PETE9","Penstemon teucrioides",NA
"350","Penstemon utahensis","Penstemon utahensis","Utah Penstemon","G4","S2","N",NA,FALSE,"PEUT","Penstemon utahensis",NA
"351","Penstemon versicolor","Penstemon versicolor","Variable- color Beardtongue","G3?","S3?","Y",NA,FALSE,"PEVE9","Penstemon versicolor",NA
"352","Penstemon yampaensis","Penstemon yampaensis","Yampa Beardtongue","G2","S2S3","N",NA,TRUE,"PEYA2","Penstemon yampaensis",NA
"353","Phacelia constancei","Phacelia constancei","Constance's Phacelia","G4","S1","N",NA,FALSE,"PHCO19","Phacelia constancei",NA
"354","Phacelia denticulata","Phacelia denticulata","Rocky Mountain Phacelia","G3","S2","N",NA,FALSE,"PHDE2","Phacelia denticulata",NA
"355","Phacelia formosula","Phacelia formosula","North Park Phacelia","G2","S2","Y","LE",FALSE,"PHFO2","Phacelia formosula",NA
"356","Phacelia incana","Phacelia incana","Hoary Phacelia","G3G4","S1","N",NA,FALSE,"PHIN9","Phacelia incana",NA
"357","Phacelia splendens","Phacelia splendens","Patch Phacelia","G3","S3","N",NA,FALSE,"PHSP3","Phacelia splendens",NA
"358","Phalaris caroliniana","Phalaris caroliniana","May Grass","G5?","S1","N",NA,FALSE,"PHCA6","Phalaris caroliniana",NA
"359","Phippsia algida","Phippsia algida","Snow Grass","G5","S2","N",NA,FALSE,"PHAL","Phippsia algida",NA
