"National_USDASymbol","National_SciName_noAuthority","Ack_SciName_noAuthority","National_NativeStatus","Invasive","CONox_Status","Invasiveness","IRank","IRank_Score"
"IBAM","Iberis amara","Iberis amara","Introduced",FALSE,NA,NA,NA,NA
"IPPU2","Ipomoea purpurea","Ipomoea purpurea","Introduced",TRUE,NA,NA,"Medium/Low",4
"IRPS","Iris pseudacorus","Iris pseudacorus","Introduced",TRUE,"Watch List",NA,NA,NA
"ISTI","Isatis tinctoria","Isatis tinctoria","Introduced",TRUE,"List A",4,"High/Low",7
"JUAR2","Juncus arcticus","Juncus arcticus","Both",FALSE,NA,NA,NA,NA
"JUCO","Juncus compressus","Juncus compressus","Introduced",TRUE,NA,3,NA,NA
"KNAR","Knautia arvensis","Knautia arvensis","Introduced",FALSE,NA,NA,NA,NA
"BASC5","Bassia scoparia","Kochia scoparia","Introduced",TRUE,NA,4,"Low",3
"LASA","Lactuca saligna","Lactuca saligna","Introduced",FALSE,NA,NA,NA,NA
"LASE","Lactuca serriola","Lactuca serriola","Introduced",TRUE,NA,3,"Low/Insignificant",2
"LAAM","Lamium amplexicaule","Lamium amplexicaule","Introduced",TRUE,NA,3,NA,NA
"LAMA","Lamium maculatum","Lamium maculatum","Introduced",FALSE,NA,NA,NA,NA
"LAPU2","Lamium purpureum","Lamium purpureum","Introduced",TRUE,NA,2,NA,NA
"LASQ","Lappula squarrosa","Lappula squarrosa","Introduced",FALSE,NA,NA,NA,NA
"LACO3","Lapsana communis","Lapsana communis","Introduced",FALSE,NA,NA,NA,NA
"LALA4","Lathyrus latifolius","Lathyrus latifolius","Introduced",TRUE,NA,3,NA,NA
"LASY","Lathyrus sylvestris","Lathyrus sylvestris","Introduced",FALSE,NA,NA,NA,NA
"LECA2","Leonurus cardiaca","Leonurus cardiaca","Introduced",FALSE,NA,NA,NA,NA
"CAPU6","Cardaria pubescens","Lepidium appelianum","Introduced",TRUE,NA,4,NA,NA
"LECA5","Lepidium campestre","Lepidium campestre","Introduced",TRUE,NA,3,NA,NA
"CACH42","Cardaria chalepensis","Lepidium chalapensis","Introduced",TRUE,NA,4,NA,NA
"LEDE","Lepidium densiflorum","Lepidium densiflorum","Both",TRUE,NA,3,NA,NA
"CADR","Cardaria draba","Lepidium draba","Introduced",TRUE,"List B",4,NA,NA
"LEHE2","Lepidium heterophyllum","Lepidium heterophyllum","Introduced",FALSE,NA,NA,NA,NA
"LELA2","Lepidium latifolium","Lepidium latifolium","Introduced",TRUE,"List B",4,"High",9
"LEPE2","Lepidium perfoliatum","Lepidium perfoliatum","Introduced",TRUE,NA,4,"Low/Insignificant",2
"LEMA8","Leucanthemum maximum","Leucanthemum maximum","Introduced",TRUE,NA,2,NA,NA
"LEVU","Leucanthemum vulgare","Leucanthemum vulgare","Introduced",TRUE,"List B",4,"Medium/Low",4
"LERA5","Leymus racemosus","Leymus racemosus","Introduced",FALSE,NA,NA,NA,NA
"LIVU","Ligustrum vulgare","Ligustrum vulgare","Introduced",FALSE,NA,NA,NA,NA
"LIDA","Linaria dalmatica","Linaria dalmatica","Introduced",TRUE,"List B",4,NA,NA
"LIVU2","Linaria vulgaris","Linaria vulgaris","Introduced",TRUE,"List B",4,"High/Low",7
"LIPE2","Linum perenne","Linum perenne","Introduced",FALSE,NA,NA,NA,NA
"BUAR3","Buglossoides arvensis","Lithospermum arvense","Introduced",TRUE,NA,3,NA,NA
"LOMA","Lobularia maritima","Lobularia maritima","Introduced",TRUE,NA,1,NA,NA
"LOPEM2","Lolium perenne ssp. multiflorum","Lolium multiflorum","Introduced",FALSE,NA,NA,NA,NA
"LOPEP","Lolium perenne ssp. perenne","Lolium perenne","Introduced",TRUE,NA,3,"Medium",6
"LOMO2","Lonicera morrowii","Lonicera morrowii","Introduced",TRUE,NA,2,"High/Medium",8
"LOTA","Lonicera tatarica","Lonicera tatarica","Introduced",TRUE,NA,2,"High/Medium",8
"LOCO6","Lotus corniculatus","Lotus corniculatus","Introduced",FALSE,NA,NA,NA,NA
"LOTE4","Lotus tenuis","Lotus tenuis","Introduced",TRUE,NA,3,"Medium/Low",4
"LUAN","Lunaria annua","Lunaria annua","Introduced",FALSE,NA,NA,NA,NA
"LYBA4","Lycium barbarum","Lycium barbarum","Introduced",TRUE,NA,3,NA,NA
"LYNU","Lysimachia nummularia","Lysimachia nummularia","Introduced",TRUE,NA,NA,"Medium/Low",4
"LYVU","Lysimachia vulgaris",NA,"Introduced",TRUE,"Watch List",NA,NA,NA
"LYSA2","Lythrum salicaria","Lythrum salicaria","Introduced",TRUE,"List A",4,"High",9
"MAPU","Malus pumila","Malus pumila","Introduced",TRUE,NA,2,"Medium/Insignificant",5
"MANE","Malva neglecta","Malva neglecta","Introduced",TRUE,NA,4,"Medium/Insignificant",5
"MAPA5","Malva parviflora","Malva parviflora","Introduced",TRUE,NA,NA,"Medium/Insignificant",5
"MAPU5","Malva pusilla","Malva pusilla","Introduced",FALSE,NA,NA,NA,NA
"MASY","Malva sylvestris","Malva sylvestris","Introduced",FALSE,NA,NA,NA,NA
"MAVE","Malva verticillata","Malva verticillata","Introduced",FALSE,NA,NA,NA,NA
"MAVU","Marrubium vulgare","Marrubium vulgare","Introduced",TRUE,NA,3,"Medium/Low",4
"MADI6","Matricaria discoidea","Matricaria discoidea","Introduced",FALSE,NA,NA,NA,NA
"MESAF","Medicago sativa ssp. falcata","Medicago falcata","Introduced",FALSE,NA,NA,NA,NA
"MELU","Medicago lupulina","Medicago lupulina","Introduced",TRUE,NA,3,"Medium/Insignificant",5
"MESA","Medicago sativa","Medicago sativa","Introduced",TRUE,NA,3,"Insignificant",1
"MEOF","Melilotus officinalis","Melilotus albus","Introduced",TRUE,NA,3,"Medium/Low",4
"MEOF","Melilotus officinalis","Melilotus officinalis","Introduced",TRUE,NA,3,"Medium/Low",4
"MESP3","Mentha spicata","Mentha spicata","Introduced",TRUE,NA,1,NA,NA
"MISI","Miscanthus sinensis","Miscanthus sinensis","Introduced",TRUE,NA,NA,"Medium",6
"MOAL","Morus alba","Morus alba","Introduced",TRUE,NA,2,"High/Medium",8
"MYAR","Myosotis arvensis","Myosotis arvensis","Introduced",FALSE,NA,NA,NA,NA
"MYSC","Myosotis scorpioides","Myosotis scorpioides","Introduced",FALSE,NA,NA,NA,NA
"NAOF","Nasturtium officinale","Nasturtium officinale","Introduced",TRUE,NA,NA,"Medium/Low",4
"NECA2","Nepeta cataria","Nepeta cataria","Introduced",TRUE,NA,3,NA,NA
"NERA2","Nepeta racemosa","Nepeta racemosa","Introduced",FALSE,NA,NA,NA,NA
"NIPH","Nicandra physalodes","Nicandra physalodes","Introduced",TRUE,NA,1,NA,NA
"OECI","Oenothera cinerea","Oenothera cinerea","Both",FALSE,NA,NA,NA,NA
"ONVI","Onobrychis viciifolia","Onobrychis viciifolia","Introduced",TRUE,NA,NA,"Insignificant",1
"ONAC","Onopordum acanthium","Onopordum acanthium","Introduced",TRUE,"List B",4,NA,NA
"ONTA","Onopordum tauricum","Onopordum tauricum","Introduced",TRUE,"List B",4,NA,NA
"PAMI2","Panicum miliaceum","Panicum miliaceum","Introduced",TRUE,"List C",4,NA,NA
"PADU","Papaver dubium","Papaver dubium","Introduced",FALSE,NA,NA,NA,NA
"PAOR5","Papaver orientale","Papaver orientale","Introduced",FALSE,NA,NA,NA,NA
"PARH2","Papaver rhoeas","Papaver rhoeas","Introduced",FALSE,NA,NA,NA,NA
"PASO2","Papaver somniferum","Papaver somniferum","Introduced",FALSE,NA,NA,NA,NA
"PADI3","Paspalum dilatatum","Paspalum dilatatum","Introduced",FALSE,NA,NA,NA,NA
"PARA6","Paspalum racemosum","Paspalum racemosum","Introduced",FALSE,NA,NA,NA,NA
"PASA2","Pastinaca sativa","Pastinaca sativa","Introduced",TRUE,NA,NA,"Low/Insignificant",2
"PEHA","Peganum harmala","Peganum harmala","Introduced",TRUE,"List A",NA,NA,NA
"PEGL2","Pennisetum glaucum","Pennisetum glaucum","Introduced",FALSE,NA,NA,NA,NA
"POHY","Polygonum hydropiper","Persicaria hydropiper","Introduced",TRUE,NA,2,NA,NA
"POPE3","Polygonum persicaria","Persicaria maculosa","Introduced",TRUE,NA,4,NA,NA
"PHCA5","Phalaris canariensis","Phalaris canariensis","Introduced",FALSE,NA,NA,NA,NA
"PHMI3","Phalaris minor","Phalaris minor","Introduced",TRUE,NA,NA,"Medium/Insignificant",5
"PHPR3","Phleum pratense","Phleum pratense","Introduced",TRUE,NA,3,"Medium",6
"PHAU7","Phragmites australis","Phragmites australis","Both",TRUE,"Watch List",NA,"High",9
"PHAU7","Phragmites australis var. autralis","Phragmites australis","Introduced",TRUE,"Watch List",NA,"High",9
"PLLA","Plantago lanceolata","Plantago lanceolata","Introduced",TRUE,NA,3,"High/Low",7
"PLMA2","Plantago major","Plantago major","Introduced",TRUE,NA,3,NA,NA
"POAN","Poa annua","Poa annua","Introduced",TRUE,NA,3,"Medium/Insignificant",5
"POBU","Poa bulbosa","Poa bulbosa","Introduced",TRUE,"List C",3,NA,NA
"POCO","Poa compressa","Poa compressa","Introduced",TRUE,NA,NA,"High/Low",7
"POPR","Poa pratensis","Poa pratensis","Both",TRUE,NA,4,"Medium",6
"POTR2","Poa trivialis","Poa trivialis","Introduced",TRUE,NA,NA,"Medium/Low",4
"POAR5","Polygonum argyrocoleon","Polygonum argyrocoleon","Introduced",TRUE,NA,NA,"Medium/Insignificant",5
"POAV","Polygonum aviculare","Polygonum aviculare","Introduced",TRUE,NA,3,"Low",3
"POMO5","Polypogon monspeliensis","Polypogon monspeliensis","Introduced",TRUE,NA,3,"High/Low",7
"POVI9","Polypogon viridis","Polypogon viridis","Introduced",TRUE,NA,NA,"High/Low",7
"POAL7","Populus alba","Populus alba","Introduced",FALSE,NA,NA,NA,NA
"POOL","Portulaca oleracea","Portulaca oleracea","Introduced",TRUE,NA,3,NA,NA
"POCR3","Potamogeton crispus","Potamogeton crispus","Introduced",TRUE,NA,NA,"Medium",6
"POAN7","Potentilla anglica","Potentilla anglica","Introduced",FALSE,NA,NA,NA,NA
"POAR8","Potentilla argentea","Potentilla argentea","Introduced",TRUE,NA,2,NA,NA
"PORE5","Potentilla recta","Potentilla recta","Introduced",TRUE,"List B",4,"High/Medium",8
"PORE6","Potentilla reptans","Potentilla reptans","Introduced",FALSE,NA,NA,NA,NA
"PRAR3","Prunus armeniaca","Prunus armeniaca","Introduced",TRUE,NA,2,NA,NA
"PRCE2","Prunus cerasifera","Prunus cerasifera","Introduced",FALSE,NA,NA,NA,NA
"PRDO","Prunus domestica","Prunus domestica","Introduced",FALSE,NA,NA,NA,NA
"PRPA5","Prunus padus","Prunus padus","Introduced",FALSE,NA,NA,NA,NA
"PRPE3","Prunus persica","Prunus persica","Introduced",FALSE,NA,NA,NA,NA
"PSJU3","Psathyrostachys juncea","Psathyrostachys juncea","Introduced",TRUE,NA,4,"Low/Insignificant",2
"PUDI","Puccinellia distans","Puccinellia distans","Both",FALSE,NA,NA,NA,NA
"RAAC3","Ranunculus acris","Ranunculus acris","Both",FALSE,NA,NA,NA,NA
"RARE3","Ranunculus repens","Ranunculus repens","Introduced",TRUE,NA,NA,"High/Medium",8
"CETE5","Ceratocephala testiculata","Ranunculus testiculatus","Introduced",FALSE,NA,NA,NA,NA
"RARA2","Raphanus raphanistrum","Raphanus raphanistrum","Introduced",FALSE,NA,NA,NA,NA
"RASA2","Raphanus sativus","Raphanus sativus","Introduced",TRUE,NA,1,NA,NA
"RELU","Reseda lutea","Reseda lutea","Introduced",FALSE,NA,NA,NA,NA
"RELU2","Reseda luteola","Reseda luteola","Introduced",FALSE,NA,NA,NA,NA
"RHCA3","Rhamnus cathartica","Rhamnus cathartica","Introduced",TRUE,NA,4,"High/Medium",8
"FRAL4","Frangula alnus","Rhamnus frangula","Introduced",TRUE,NA,NA,"High/Medium",8
"RHRH2","Rheum rhabarbarum","Rheum rhabarbarum","Introduced",TRUE,NA,1,NA,NA
"RIRU80","Ribes rubrum","Ribes rubrum","Introduced",FALSE,NA,NA,NA,NA
"ROSY","Rorippa sylvestris","Rorippa sylvestris","Introduced",TRUE,NA,3,"Medium/Low",4
"ROHA4","Rosa ×harisonii [foetida × spinosissima]","Rosa ×harisonii","Introduced",FALSE,NA,NA,NA,NA
"ROCA3","Rosa canina","Rosa canina","Introduced",FALSE,NA,NA,NA,NA
"ROEG","Rosa eglanteria","Rosa eglanteria","Introduced",TRUE,NA,2,NA,NA
"RUAR9","Rubus armeniacus","Rubus armeniacus","Introduced",TRUE,"Watch List",2,NA,NA
"RULA","Rubus laciniatus","Rubus laciniatus","Introduced",TRUE,NA,2,NA,NA
"RUAC3","Rumex acetosella","Rumex acetosella","Introduced",TRUE,NA,2,"Medium/Low",4
"RUCR","Rumex crispus","Rumex crispus","Introduced",TRUE,NA,3,"Low/Insignificant",2
"RUOB","Rumex obtusifolius","Rumex obtusifolius","Introduced",FALSE,NA,NA,NA,NA
"RUST4","Rumex stenophyllus","Rumex stenophyllus","Introduced",FALSE,NA,NA,NA,NA
"SAPR","Sagina procumbens","Sagina procumbens","Introduced",FALSE,NA,NA,NA,NA
"SAFR","Salix fragilis","Salix ×fragilis","Introduced",TRUE,NA,3,NA,NA
"SAAL2","Salix alba","Salix alba","Introduced",TRUE,NA,2,NA,NA
"SABA","Salix babylonica","Salix babylonica","Introduced",TRUE,NA,2,NA,NA
"SAMA13","Salix matsudana","Salix matsudana","Introduced",TRUE,NA,2,NA,NA
"SAPU2","Salix purpurea","Salix purpurea","Introduced",TRUE,NA,2,NA,NA
"SACO8","Salsola collina","Salsola collina","Introduced",FALSE,NA,NA,NA,NA
"SAPA8","Salsola paulsenii","Salsola paulsenii","Introduced",TRUE,NA,NA,"Low",3
"SATR12","Salsola tragus","Salsola tragus","Introduced",TRUE,NA,4,NA,NA
"SASY","Salvia ×sylvestris","Salvia ×sylvestris","Introduced",FALSE,NA,NA,NA,NA
"SAAE","Salvia aethiopis","Salvia aethiopis","Introduced",TRUE,"List A",4,"Low",3
"SAPR2","Salvia pratensis","Salvia pratensis","Introduced",FALSE,NA,NA,NA,NA
"SASC2","Salvia sclarea","Salvia sclarea","Introduced",FALSE,NA,NA,NA,NA
"SAMI3","Sanguisorba minor","Sanguisorba minor","Introduced",TRUE,NA,2,"Insignificant",1
"SAOC80","Saponaria ocymoides","Saponaria ocymoides","Introduced",FALSE,NA,NA,NA,NA
"SAOF4","Saponaria officinalis","Saponaria officinalis","Introduced",TRUE,"List B",4,"Low/Insignificant",2
"SCAR7","Schedonorus arundinaceus","Schedonorus arundinaceus","Introduced",TRUE,NA,NA,"High/Medium",8
"SCPR4","Schedonorus pratensis","Schedonorus pratensis","Introduced",TRUE,NA,NA,"High/Low",7
"SCDU2","Sclerochloa dura","Sclerochloa dura","Introduced",FALSE,NA,NA,NA,NA
"SCLA6","Scorzonera laciniata","Scorzonera laciniata","Introduced",FALSE,NA,NA,NA,NA
"SECE","Secale cereale","Secale cereale","Introduced",TRUE,NA,1,NA,NA
"SEVA4","Securigera varia","Securigera varia","Introduced",TRUE,NA,NA,"High",9
"SEAC","Sedum acre","Sedum acre","Introduced",FALSE,NA,NA,NA,NA
"SESP2","Sedum spurium","Sedum spurium","Introduced",FALSE,NA,NA,NA,NA
"SEVU","Senecio vulgaris","Senecio vulgaris","Introduced",TRUE,NA,2,"Low/Insignificant",2
"SEIT","Setaria italica","Setaria italica","Introduced",FALSE,NA,NA,NA,NA
"SEPUP2","Setaria pumila ssp. pumila","Setaria pumila ssp. pumila","Introduced",FALSE,NA,NA,NA,NA
"SEVE3","Setaria verticillata","Setaria verticillata","Introduced",TRUE,NA,2,NA,NA
"SEVIV","Setaria viridis var. viridis","Setaria viridis var. viridis","Introduced",TRUE,NA,2,NA,NA
"SICS","Silene csereii","Silene csereii","Introduced",FALSE,NA,NA,NA,NA
"SIDI2","Silene dichotoma","Silene dichotoma ssp. dichotoma","Introduced",FALSE,NA,NA,NA,NA
"SILA21","Silene latifolia","Silene latifolia","Introduced",FALSE,NA,NA,NA,NA
"SINO","Silene noctiflora","Silene noctiflora","Introduced",FALSE,NA,NA,NA,NA
"SIVU","Silene vulgaris","Silene vulgaris","Introduced",FALSE,NA,NA,NA,NA
"SIAL5","Sinapis alba","Sinapis alba","Introduced",FALSE,NA,NA,NA,NA
"SIAR4","Sinapis arvensis","Sinapis arvensis","Introduced",TRUE,NA,NA,"Low/Insignificant",2
"SIAL2","Sisymbrium altissimum","Sisymbrium altissimum","Introduced",TRUE,NA,4,NA,NA
"SILO3","Sisymbrium loeselii","Sisymbrium loeselii","Introduced",FALSE,NA,NA,NA,NA
"SIOF","Sisymbrium officinale","Sisymbrium officinale","Introduced",TRUE,NA,3,NA,NA
"SODU","Solanum dulcamara","Solanum dulcamara","Introduced",TRUE,NA,1,"Low",3
"SOPH","Solanum physalifolium","Solanum physalifolium","Introduced",FALSE,NA,NA,NA,NA
"SOAR2","Sonchus arvensis","Sonchus arvensis","Introduced",TRUE,"List C",4,"Medium/Low",4
"SOAS","Sonchus asper","Sonchus asper","Introduced",TRUE,NA,3,NA,NA
"SOOL","Sonchus oleraceus","Sonchus oleraceus","Introduced",TRUE,NA,3,NA,NA
"SOARU","Sonchus arvensis ssp. uliginosus","Sonchus uliginosus","Introduced",FALSE,NA,NA,NA,NA
"SOAU","Sorbus aucuparia","Sorbus aucuparia","Introduced",FALSE,NA,NA,NA,NA
"SOBI2","Sorghum bicolor","Sorghum bicolor","Introduced",TRUE,NA,2,NA,NA
"SOHA","Sorghum halepense","Sorghum halepense","Introduced",TRUE,"List C",4,"High/Medium",8
"SPAR","Spergula arvensis","Spergula arvensis","Introduced",FALSE,NA,NA,NA,NA
"SPMA10","Spergularia maritima","Spergularia media","Introduced",FALSE,NA,NA,NA,NA
"SPRU","Spergularia rubra","Spergularia rubra","Introduced",FALSE,NA,NA,NA,NA
"SPSA3","Sphaerophysa salsula","Sphaerophysa salsula","Introduced",TRUE,"Watch List",NA,NA,NA
"STGR","Stellaria graminea","Stellaria graminea","Introduced",FALSE,NA,NA,NA,NA
"STME2","Stellaria media","Stellaria media","Introduced",TRUE,NA,NA,"Low",3
"STMEP","Stellaria media ssp. pallida","Stellaria pallida","Introduced",FALSE,NA,NA,NA,NA
"STAM2","Streptopus amplexifolius","Streptopus amplexifolius","Both",FALSE,NA,NA,NA,NA
"MAAF","Malcolmia africana","Strigosella africana","Introduced",TRUE,NA,2,NA,NA
"SYOF","Symphytum officinale","Symphytum officinale","Introduced",FALSE,NA,NA,NA,NA
"SYVU","Syringa vulgaris","Syringa vulgaris","Introduced",FALSE,NA,NA,NA,NA
"TACH","Tamarix chinensis","Tamarix chinensis","Introduced",TRUE,"List B",4,"High",9
"TAPA4","Tamarix parviflora","Tamarix parviflora","Introduced",TRUE,NA,4,NA,NA
"TABA","Tanacetum balsamita","Tanacetum balsamita","Introduced",TRUE,NA,NA,"Low/Insignificant",2
"TAPA6","Tanacetum parthenium","Tanacetum parthenium","Introduced",FALSE,NA,NA,NA,NA
"TAVU","Tanacetum vulgare","Tanacetum vulgare","Introduced",TRUE,"List B",4,"Low",3
"TALA2","Taraxacum laevigatum","Taraxacum laevigatum","Introduced",FALSE,NA,NA,NA,NA
"TAOF","Taraxacum officinale","Taraxacum officinale","Both",TRUE,NA,3,NA,NA
"THIN6","Thinopyrum intermedium","Thinopyrum intermedium","Introduced",TRUE,NA,3,"Medium/Insignificant",5
"THPO7","Thinopyrum ponticum","Thinopyrum ponticum","Introduced",TRUE,NA,3,"Low/Insignificant",2
"THAR5","Thlaspi arvense","Thlaspi arvense","Introduced",TRUE,NA,3,"Low/Insignificant",2
"TRDU","Tragopogon dubius","Tragopogon dubius","Introduced",TRUE,NA,2,"Medium/Low",4
"TRPO","Tragopogon porrifolius","Tragopogon porrifolius","Introduced",TRUE,NA,2,NA,NA
"TRPR","Tragopogon pratensis","Tragopogon pratensis","Introduced",TRUE,NA,2,NA,NA
"TRTE","Tribulus terrestris","Tribulus terrestris","Introduced",TRUE,"List C",4,NA,NA
"TRFR2","Trifolium fragiferum","Trifolium fragiferum","Introduced",TRUE,NA,3,NA,NA
"TRHY","Trifolium hybridum","Trifolium hybridum","Introduced",TRUE,NA,3,"Medium/Low",4
"TRPR2","Trifolium pratense","Trifolium pratense","Introduced",TRUE,NA,3,"Low/Insignificant",2
"TRRE3","Trifolium repens","Trifolium repens","Introduced",TRUE,NA,3,"Medium/Low",4
"TRPE21","Tripleurospermum perforatum","Tripleurospermum inodorum","Introduced",TRUE,"List B",4,NA,NA
"TRFL5","Trisetum flavescens","Trisetum flavescens","Introduced",FALSE,NA,NA,NA,NA
"TRAE","Triticum aestivum","Triticum aestivum","Introduced",TRUE,NA,3,NA,NA
"TYGL","Typha ×glauca",NA,"Both",FALSE,NA,NA,NA,NA
"TYAN","Typha angustifolia","Typha angustifolia","Both",TRUE,NA,NA,"High/Medium",8
"ULPU","Ulmus pumila","Ulmus pumila","Introduced",TRUE,"Watch List",4,"Medium",6
"URDI","Urtica dioica","Urtica dioica","Both",FALSE,NA,NA,NA,NA
"VAHI2","Vaccaria hispanica","Vaccaria hispanica","Introduced",FALSE,NA,NA,NA,NA
"VEBL","Verbascum blattaria","Verbascum blattaria","Introduced",TRUE,"List B",4,NA,NA
"VELY","Verbascum lychnitis","Verbascum lychnitis","Introduced",FALSE,NA,NA,NA,NA
"VEPH","Verbascum phlomoides","Verbascum phlomoides","Introduced",FALSE,NA,NA,NA,NA
"VETH","Verbascum thapsus","Verbascum thapsus","Introduced",TRUE,"List C",4,"Medium",6
"VEAR","Veronica arvensis","Veronica arvensis","Introduced",FALSE,NA,NA,NA,NA
"VEBI2","Veronica biloba","Veronica biloba","Introduced",FALSE,NA,NA,NA,NA
"VEPE3","Veronica persica","Veronica persica","Introduced",FALSE,NA,NA,NA,NA
"VEPO","Veronica polita","Veronica polita","Introduced",FALSE,NA,NA,NA,NA
"VILA","Viburnum lantana","Viburnum lantana","Introduced",TRUE,NA,1,NA,NA
"VISAN2","Vicia sativa ssp. nigra","Vicia sativa ssp. nigra","Introduced",FALSE,NA,NA,NA,NA
"VIVI","Vicia villosa","Vicia villosa","Introduced",FALSE,NA,NA,NA,NA
"VIOD","Viola odorata","Viola odorata","Introduced",FALSE,NA,NA,NA,NA
"VITR","Viola tricolor","Viola tricolor","Introduced",FALSE,NA,NA,NA,NA
"XASP2","Xanthium spinosum","Xanthium spinosum","Introduced",FALSE,NA,NA,NA,NA
"ZEMA","Zea mays","Zea mays","Introduced",FALSE,NA,NA,NA,NA
"ZYFA","Zygophyllum fabago","Zygophyllum fabago","Introduced",TRUE,"Watch List",NA,NA,NA
